IDs         length   Exptl.  resolution  R-factor FreeRvalue
1T1GA       364      XRAY        1.180    0.20    0.22
1YW4A       341      XRAY        2.000    0.22    0.26
3W15A       368      XRAY        1.800    0.19    0.22
4J3RA       383      XRAY        2.200    0.19    0.22
4U9HS       265      XRAY        0.890    0.10    0.11
2C1WA       292      XRAY        2.200    0.27    0.28
3VP5A       189      XRAY        1.900    0.21    0.27
1MBAA       147      XRAY        1.600    0.19    1.00
3DKMA        89      XRAY        1.600    0.16    0.18
4Q63A       105      XRAY        1.950    0.18    0.22
3SCEA       519      XRAY        1.450    0.12    0.14
5AGVA       406      XRAY        1.930    0.17    0.21
1CY5A        97      XRAY        1.300    0.17    0.20
3P8CF       159      XRAY        2.290    0.19    0.24
4A5NA       131      XRAY        1.810    0.18    0.22
5DYMA       117      XRAY        1.890    0.21    0.24
1YSRA       150      XRAY        1.780    0.20    0.25
1EPUA       591      XRAY        2.400    0.25    0.28
3VOPA        64      XRAY        2.200    0.21    0.27
4ATMA       243      XRAY        1.780    0.19    0.22
4K94C       214      XRAY        2.400    0.20    0.23
4FZPA        82      XRAY        1.290    0.18    0.19
5LFRA       317      XRAY        2.120    0.23    0.26
1F0XA       571      XRAY        1.900    0.21    0.25
3EC6A       139      XRAY        1.600    0.19    0.23
3NOIA       120      XRAY        1.840    0.17    0.20
5JG9A        47      XRAY        2.090    0.20    0.25
1DEKA       241      XRAY        2.000    0.19    1.00
4QN1A       420      XRAY        2.480    0.23    0.26
3CQ1A       103      XRAY        1.900    0.21    0.22
4E9XA       339      XRAY        1.140    0.14    1.00
4TKXL       452      XRAY        1.600    0.12    0.14
2BFWA       200      XRAY        1.800    0.19    0.23
3KHQA       133      XRAY        1.700    0.19    0.20
4I8IA       271      XRAY        1.500    0.15    0.18
3KASA       640      XRAY        2.400    0.19    0.24
5FDNA       987      XRAY        2.200    0.17    0.19
3TPDA       440      XRAY        1.500    0.22    0.25
4M6RA       224      XRAY        2.000    0.18    0.22
2EFVA        92      XRAY        1.900    0.22    0.23
2WB9A       211      XRAY        1.590    0.18    0.22
4I0WA        96      XRAY        1.600    0.16    0.18
5CWIA       250      XRAY        1.750    0.20    0.23
1JMVA       141      XRAY        1.850    0.22    0.24
2Z2NA       299      XRAY        1.650    0.16    0.20
4BSXA       156      XRAY        2.230    0.19    0.24
3ADRA       261      XRAY        1.800    0.20    0.22
2FIWA       172      XRAY        2.350    0.22    0.26
4GFRA       529      XRAY        2.200    0.17    0.20
4UZZA       116      XRAY        2.320    0.24    0.26
3NE7A       159      XRAY        2.300    0.19    0.24
5SXXA       728      XRAY        1.700    0.14    0.17
4E6SA        93      XRAY        1.850    0.21    0.23
3ZIEA        86      XRAY        2.000    0.19    0.24
1AKOA       268      XRAY        1.700    0.17    0.20
3AYVA       254      XRAY        1.850    0.17    0.20
4KN8A       267      XRAY        1.500    0.19    0.21
2VOVA       336      XRAY        1.350    0.19    0.21
4NNGA       158      XRAY        2.020    0.21    0.26
2HA8A       184      XRAY        1.600    0.18    0.21
5HSFA       132      XRAY        1.520    0.16    0.19
4X8KB        89      XRAY        2.200    0.20    0.23
4Y0CA       176      XRAY        1.990    0.18    0.21
3I8BA       515      XRAY        2.000    0.18    0.23
4CVUA       942      XRAY        1.900    0.23    0.26
2EPLX       627      XRAY        1.400    0.19    0.20
3OIOA       113      XRAY        1.650    0.16    0.18
3HL6A       225      XRAY        2.500    0.23    0.28
2YWIA       196      XRAY        1.600    0.20    0.22
2BKFA        87      XRAY        1.560    0.20    0.23
4XB9A       316      XRAY        1.800    0.17    0.20
1US5A       314      XRAY        1.500    0.18    0.20
3GLCA       295      XRAY        2.500    0.21    0.23
3WOEB       106      XRAY        2.350    0.18    0.23
1DLEA       298      XRAY        2.100    0.21    0.25
1VQOQ        96      XRAY        2.200    0.21    0.25
2QDJA       304      XRAY        2.000    0.23    0.28
3GA7A       326      XRAY        1.550    0.14    0.18
3R0AA       123      XRAY        2.310    0.27    0.36
3VMNA       643      XRAY        1.600    0.15    0.18
4ES1A       100      XRAY        1.100    0.16    0.16
4DGFA       135      XRAY        1.600    0.21    0.24
3I7TA       149      XRAY        1.930    0.21    0.25
3D7IA       105      XRAY        1.750    0.17    0.20
3MZOA       216      XRAY        1.980    0.17    0.20
2Z0TA       109      XRAY        1.800    0.18    0.21
5HQTA       235      XRAY        1.600    0.18    0.22
2Z3HA       130      XRAY        1.500    0.17    0.18
4J25A       229      XRAY        1.970    0.21    0.26
1GQIA       708      XRAY        1.480    0.13    0.17
3ZMDA       178      XRAY        1.950    0.22    0.24
1TWFI       122      XRAY        2.300    0.26    0.29
1PU6A       218      XRAY        1.640    0.15    0.18
3HHFA       213      XRAY        2.300    0.20    0.26
3G68A       352      XRAY        1.800    0.16    0.19
1TMXA       293      XRAY        1.750    0.20    0.25
2RFQA       394      XRAY        1.650    0.15    0.17
3SOVA       318      XRAY        1.270    0.15    0.18
5HPKB        86      XRAY        2.430    0.21    0.23
1YLQA        96      XRAY        2.020    0.22    0.27
5IGOA       336      XRAY        1.600    0.19    0.21
4EYZA       246      XRAY        1.380    0.13    0.15
1JYOE       105      XRAY        1.900    0.23    0.26
5U96A        52      XRAY        1.950    0.24    0.24
5A2GA       522      XRAY        1.900    0.19    0.24
4M1BA       254      XRAY        1.990    0.17    0.21
4Q7FA       527      XRAY        1.980    0.19    0.22
3K6TA        60      XRAY        2.040    0.20    0.24
3H6QA       169      XRAY        1.640    0.16    0.19
3B5NA        61      XRAY        1.600    0.21    0.25
1JB0J        41      XRAY        2.500    0.20    0.22
4Q0YA       134      XRAY        1.700    0.18    0.20
5DU3A       382      XRAY        2.100    0.21    0.26
1JYAA       130      XRAY        1.740    0.24    0.27
4WZ8B       769      XRAY        2.230    0.18    0.21
2F2HA       773      XRAY        1.950    0.18    0.23
3KWUA       148      XRAY        1.370    0.17    0.19
1R61A       207      XRAY        2.500    0.18    0.21
1JKGA       140      XRAY        1.900    0.22    0.23
5M1XA       134      XRAY        1.800    0.17    0.21
1WD3A       482      XRAY        1.750    0.19    0.21
4ZNKA       274      XRAY        1.930    0.15    0.20
4JOQA       297      XRAY        1.900    0.13    0.14
5MULA       431      XRAY        1.390    0.17    0.19
5MC9C        64      XRAY        2.130    0.21    0.24
2W7AA       100      XRAY        1.400    0.14    0.18
2B78A       385      XRAY        2.000    0.24    0.26
4MAAA       403      XRAY        2.000    0.16    0.20
3I00A       120      XRAY        2.300    0.24    0.28
2BOPA        85      XRAY        1.700    0.20    1.00
3URGA       146      XRAY        2.000    0.21    0.24
2I9CA       123      XRAY        2.000    0.18    0.20
2OO2A        86      XRAY        1.800    0.24    0.29
3FJUB        65      XRAY        1.600    0.16    0.20
2HINA        71      XRAY        1.050    0.16    0.17
2HJEA       221      XRAY        1.700    0.20    0.24
5CVWA       153      XRAY        1.250    0.14    0.17
3LQ6A       320      XRAY        2.000    0.19    0.24
2X5YA       173      XRAY        1.050    0.13    0.15
4OGPA       330      XRAY        2.150    0.21    0.26
3QCPA       470      XRAY        2.300    0.20    0.24
5T1QA       359      XRAY        2.150    0.17    0.22
3GN3A       182      XRAY        2.500    0.21    0.24
4QP5A       140      XRAY        1.260    0.13    0.17
5DV4A       398      XRAY        1.800    0.19    0.22
3H51A       156      XRAY        1.700    0.18    0.21
3VMVA       326      XRAY        1.540    0.17    0.19
3OOPA       143      XRAY        1.780    0.21    0.24
1B4FA        82      XRAY        1.950    0.23    0.27
4EO0A       115      XRAY        1.610    0.19    0.21
4UN2B        48      XRAY        1.510    0.16    0.20
4G4GA       433      XRAY        1.550    0.21    0.25
3FFYA       115      XRAY        2.000    0.21    0.23
1YCDA       243      XRAY        1.700    0.17    0.20
1TU5A       746      XRAY        2.370    0.21    0.24
1T3GA       159      XRAY        2.300    0.23    0.27
3EQZA       135      XRAY        2.150    0.21    0.25
3LAGA        98      XRAY        1.150    0.19    0.22
2HF1A        68      XRAY        1.900    0.23    0.28
5HJXA       481      XRAY        1.800    0.18    0.21
5KHDA        91      XRAY        1.750    0.18    0.18
4HTLA       297      XRAY        1.640    0.13    0.17
1YOAA       159      XRAY        1.900    0.20    0.23
4U98A       454      XRAY        1.150    0.15    0.16
2C40A       312      XRAY        2.200    0.21    0.24
5SWIA       717      XRAY        2.150    0.20    0.22
4AY0A       218      XRAY        1.520    0.17    0.19
1Z6OA       212      XRAY        1.910    0.19    0.19
4US5A       338      XRAY        1.800    0.19    0.22
3P6ZC        71      XRAY        1.700    0.20    0.24
3F3BA       126      XRAY        2.500    0.23    0.26
3C5VA       316      XRAY        2.000    0.18    0.22
1GJWA       637      XRAY        2.100    0.20    0.25
4ATGA       196      XRAY        1.890    0.17    0.21
4E9SA       489      XRAY        1.060    0.13    1.00
2YGKA       339      XRAY        2.500    0.23    0.27
1STZA       338      XRAY        2.200    0.22    0.26
3L8WA       296      XRAY        1.000    0.14    0.14
3WFDB       465      XRAY        2.300    0.19    0.23
3ZE3A       130      XRAY        2.050    0.20    0.22
3DKRA       251      XRAY        1.600    0.17    0.18
5TQJA       136      XRAY        1.300    0.14    0.17
2Q22A       139      XRAY        2.110    0.19    0.22
4P7XA       292      XRAY        1.300    0.14    0.16
4KQPA       232      XRAY        0.950    0.12    0.12
4ZCNA        87      XRAY        1.300    0.15    0.18
2PC1A       201      XRAY        1.280    0.17    0.18
3DA8A       215      XRAY        1.300    0.17    0.19
3P8CA      1253      XRAY        2.290    0.19    0.24
1XKIA       162      XRAY        1.800    0.19    0.25
3W1OA       119      XRAY        1.850    0.19    0.22
5DTYA       248      XRAY        1.500    0.18    0.22
5KD5A       559      XRAY        1.650    0.19    0.22
4R75A       321      XRAY        1.280    0.17    0.19
4YLMX       293      XRAY        2.050    0.19    0.22
3S9JA       369      XRAY        1.750    0.14    0.17
2QN6B        93      XRAY        2.150    0.22    0.26
5BXAA       416      XRAY        1.900    0.16    0.19
5T11A       160      XRAY        2.100    0.19    0.23
1H6FA       193      XRAY        1.700    0.20    0.24
2BU3A       254      XRAY        1.400    0.17    0.19
1Q67A       231      XRAY        2.300    0.23    0.27
1N0UA       842      XRAY        2.120    0.24    0.25
5TZPA       148      XRAY        1.350    0.15    0.17
3BWLA       126      XRAY        1.730    0.16    0.20
5E1YA        95      XRAY        1.010    0.12    0.13
4N1IA       334      XRAY        1.000    0.12    0.14
3GO6A       310      XRAY        1.980    0.17    0.20
5AA5C       579      XRAY        2.500    0.19    0.24
4DIXA       230      XRAY        1.700    0.21    0.23
3I7JA       280      XRAY        2.200    0.19    0.23
4CAYA       111      XRAY        1.480    0.17    0.20
5HAZA       567      XRAY        2.100    0.21    0.23
4BN4A       284      XRAY        1.300    0.14    0.18
2Q52A       224      XRAY        1.380    0.17    0.20
3MFIA       520      XRAY        1.760    0.17    0.19
2ZKOA        73      XRAY        1.700    0.19    0.23
5G3YA       226      XRAY        1.180    0.13    0.15
2FWHA       134      XRAY        0.990    0.11    0.15
1USEA        45      XRAY        1.300    0.17    0.20
5VJYA       155      XRAY        2.000    0.14    0.18
3BUXB       329      XRAY        1.350    0.23    0.24
3U0HA       281      XRAY        2.300    0.18    0.23
2RASA       212      XRAY        1.800    0.18    0.21
4HE7A        54      XRAY        1.800    0.22    0.25
3GN6A       321      XRAY        1.800    0.16    0.19
5FZMA       479      XRAY        2.490    0.18    0.22
1VQOX        92      XRAY        2.200    0.21    0.25
3EWYA       260      XRAY        1.100    0.13    0.15
5H9FJ       224      XRAY        2.450    0.21    0.23
2W9YA       140      XRAY        1.800    0.17    0.25
2AB5A       269      XRAY        2.200    0.21    0.27
2HUHA       147      XRAY        1.540    0.17    0.19
2IAYA       114      XRAY        1.200    0.12    0.15
2HUEB        77      XRAY        1.700    0.21    0.24
2VGNA       386      XRAY        2.500    0.21    0.25
1K0WA       231      XRAY        2.100    0.21    0.25
3QAVA       243      XRAY        2.100    0.19    0.23
4GN4B       108      XRAY        1.860    0.15    0.19
5IRQA       494      XRAY        2.200    0.20    0.25
2FPHX       165      XRAY        1.700    0.24    0.30
4DJGA        52      XRAY        1.900    0.21    0.24
2O3FA       111      XRAY        1.750    0.18    0.21
5TU8A       208      XRAY        2.330    0.21    0.25
1VKFA       188      XRAY        1.650    0.19    0.21
3IX1A       302      XRAY        2.400    0.20    0.26
5CQXA       119      XRAY        1.630    0.18    0.23
2OBDA       476      XRAY        2.100    0.22    0.27
5KNGA       169      XRAY        1.350    0.17    0.20
1YQSA       349      XRAY        1.050    0.11    0.14
4XNHA       854      XRAY        2.100    0.17    0.23
4PEIA       356      XRAY        1.950    0.19    0.23
5MQHA       248      XRAY        2.450    0.21    0.28
2FCTA       313      XRAY        1.600    0.18    0.20
2JJ7A       186      XRAY        2.100    0.18    0.24
5K91A       188      XRAY        1.180    0.19    0.22
3NVWC       756      XRAY        1.600    0.19    0.21
5PG1A       138      XRAY        1.490    0.21    0.25
2D7VA       162      XRAY        1.970    0.20    0.26
3SY6A       291      XRAY        1.900    0.17    0.21
1T8KA        77      XRAY        1.100    0.13    0.15
3D5PA       144      XRAY        1.450    0.16    0.17
2DC1A       236      XRAY        1.900    0.22    0.23
2P9XA        99      XRAY        1.650    0.22    0.24
3HM4A       156      XRAY        1.300    0.14    0.17
3U64A       301      XRAY        2.300    0.20    0.24
3PVIA       157      XRAY        1.590    0.20    0.25
2ECUA       149      XRAY        1.300    0.20    0.22
4P7CA       322      XRAY        1.850    0.15    0.20
3OMBA       535      XRAY        2.100    0.15    0.23
5AF3A       241      XRAY        1.780    0.21    0.25
2IMFA       203      XRAY        1.300    0.18    0.21
3QSZA       189      XRAY        2.390    0.21    0.26
2NUTA       769      XRAY        2.300    0.22    0.27
5BRHA       381      XRAY        1.900    0.20    0.24
4L8KA       320      XRAY        2.260    0.16    0.21
4H7WA       193      XRAY        1.100    0.13    0.15
5HIWA       398      XRAY        1.850    0.17    0.22
4X2RA       250      XRAY        1.050    0.12    0.14
2O5VA       359      XRAY        1.610    0.17    0.21
1MKKA        96      XRAY        1.320    0.17    0.20
3A8TA       339      XRAY        2.370    0.18    0.23
3VGIA       319      XRAY        1.070    0.13    0.16
5ECKA       575      XRAY        1.540    0.16    0.17
2OYOA       196      XRAY        1.510    0.18    0.21
2EW0A       192      XRAY        1.400    0.20    0.22
5GN2A       272      XRAY        1.950    0.25    0.29
3VWNX       392      XRAY        1.200    0.13    0.15
1Z21A       112      XRAY        1.500    0.27    0.24
1K8KF       168      XRAY        2.000    0.22    0.25
1ZI8A       236      XRAY        1.400    0.17    0.19
3B49A       211      XRAY        1.600    0.17    0.20
3SC7X       516      XRAY        1.500    0.19    0.21
5F5LA       290      XRAY        1.680    0.13    0.18
4RHJA       351      XRAY        1.800    0.20    0.23
2XGRA       252      XRAY        1.700    0.17    0.20
1RCQA       357      XRAY        1.450    0.15    0.21
3G8RA       350      XRAY        2.490    0.21    0.28
3K12A       122      XRAY        1.490    0.19    0.21
1VK6A       269      XRAY        2.200    0.19    0.22
2HI0A       240      XRAY        1.510    0.16    0.19
4A5UA       160      XRAY        2.000    0.17    0.20
2X5FA       430      XRAY        1.800    0.19    0.21
3ZUIA       150      XRAY        1.710    0.20    0.22
1HQ1A       105      XRAY        1.520    0.16    0.20
1FPOA       171      XRAY        1.800    0.22    0.25
1Y14B       171      XRAY        2.300    0.23    0.27
2G7LA       243      XRAY        2.100    0.23    0.29
3SNFA       104      XRAY        1.100    0.16    0.18
3PRBA       231      XRAY        2.200    0.23    0.27
1YB2A       275      XRAY        2.010    0.20    0.25
2Q7SA       290      XRAY        2.000    0.20    0.25
5HXGA       235      XRAY        2.000    0.18    0.21
3SXUB       138      XRAY        1.850    0.19    0.21
3MB5A       255      XRAY        1.600    0.18    0.20
3HMZA       199      XRAY        1.500    0.13    0.15
3GCEA       121      XRAY        2.000    0.18    0.19
3GPKA       112      XRAY        1.550    0.21    0.23
3HR4A       219      XRAY        2.500    0.24    0.31
3HN3A       613      XRAY        1.700    0.20    0.24
2OU5A       175      XRAY        1.600    0.18    0.22
2WNKA       238      XRAY        1.550    0.20    0.25
4CC2A        67      XRAY        1.550    0.17    0.22
2OEZA       247      XRAY        1.970    0.22    0.27
3QHOA       458      XRAY        1.650    0.19    0.23
3FUTA       271      XRAY        1.520    0.21    0.24
4CGSA       173      XRAY        1.300    0.17    0.22
2EK1A        95      XRAY        2.000    0.21    0.27
4PH8A       156      XRAY        1.550    0.16    0.23
5FQEA       610      XRAY        1.530    0.16    0.18
2XWLA       223      XRAY        1.490    0.19    0.21
4M3LA        61      XRAY        2.100    0.21    0.26
1MTYD       512      XRAY        1.700    0.18    1.00
5UBPA       482      XRAY        2.300    0.18    0.22
1YWFA       296      XRAY        1.710    0.18    0.21
4ONQA       357      XRAY        2.500    0.19    0.23
5LXVB        88      XRAY        2.400    0.22    0.26
3I9YA       276      XRAY        2.160    0.22    0.26
4QREA       547      XRAY        1.700    0.20    0.24
1XKPA       246      XRAY        1.700    0.20    0.24
2GFHA       260      XRAY        1.900    0.21    0.26
3D3SA       189      XRAY        1.870    0.17    0.21
3ONHA       127      XRAY        1.600    0.16    0.18
3U23A        65      XRAY        1.110    0.15    0.17
5I0GB       733      XRAY        2.150    0.17    0.21
2Z5BA       151      XRAY        1.960    0.24    0.29
4ZNMA       462      XRAY        2.000    0.17    0.19
3A72A       355      XRAY        1.040    0.10    0.12
2H5CA       198      XRAY        0.820    0.09    0.09
2GEYA       158      XRAY        1.800    0.18    0.20
4EDPA       351      XRAY        1.850    0.16    0.19
3M9ZA       139      XRAY        1.700    0.20    0.24
3WWCA       364      XRAY        1.490    0.15    0.17
2FSJA       346      XRAY        1.900    0.20    0.24
3CK6A       252      XRAY        1.900    0.19    0.22
4FGLA       233      XRAY        1.200    0.16    0.17
2C2IA       151      XRAY        1.800    0.18    0.23
3E1SA       574      XRAY        2.200    0.23    0.29
1J83A       180      XRAY        1.700    0.20    0.22
2HB0A       369      XRAY        2.300    0.23    0.20
4XEZA       200      XRAY        1.250    0.12    0.16
5IKJB        88      XRAY        2.300    0.21    0.24
3LSNA       304      XRAY        1.350    0.18    0.20
4X9RA       237      XRAY        1.400    0.15    0.18
2CZQA       205      XRAY        1.050    0.15    0.16
4HCEA       152      XRAY        2.300    0.20    0.25
3DHUA       449      XRAY        2.000    0.20    0.25
4RITA       486      XRAY        1.800    0.15    0.17
5JNBE        74      XRAY        2.490    0.19    0.24
3BM1A       183      XRAY        2.000    0.19    0.26
1UD9A       245      XRAY        1.680    0.20    0.24
3FRUA       269      XRAY        2.200    0.23    0.28
1R0UA       148      XRAY        1.750    0.18    0.21
3D6JA       225      XRAY        2.000    0.20    0.23
3GMOA       287      XRAY        1.600    0.18    0.22
3BEDA       142      XRAY        1.450    0.16    0.20
4YDPA        85      XRAY        1.400    0.12    0.16
2WCWA       139      XRAY        1.580    0.16    0.19
3KTOA       136      XRAY        1.980    0.22    0.24
5GY3A       310      XRAY        1.770    0.17    0.20
3KQ0A       192      XRAY        1.800    0.20    0.24
3MAJA       382      XRAY        2.050    0.19    0.23
3SPAA      1134      XRAY        2.500    0.19    0.23
2VHJA       331      XRAY        1.800    0.20    0.24
3CFYA       137      XRAY        2.500    0.25    0.29
1KK8B       139      XRAY        2.300    0.23    0.27
4Q86A       586      XRAY        2.250    0.22    0.25
4IGLA      1488      XRAY        2.490    0.20    0.25
2QGQA       304      XRAY        2.000    0.21    0.25
2INUA       410      XRAY        1.800    0.20    0.23
2GA8A       359      XRAY        1.770    0.19    0.22
3QFWA       378      XRAY        1.790    0.25    0.28
3VU9B       213      XRAY        1.750    0.18    0.23
4RHPA       235      XRAY        2.390    0.19    0.25
3B8FA       142      XRAY        1.900    0.17    0.20
1GTVA       214      XRAY        1.550    0.19    0.21
5I29A       144      XRAY        1.210    0.20    0.22
1V8HA       107      XRAY        1.200    0.21    0.21
3OV5A        85      XRAY        1.040    0.13    0.15
1QSTA       160      XRAY        1.700    0.24    0.28
3S93A       102      XRAY        2.280    0.25    0.27
2PKHA       148      XRAY        1.950    0.22    0.28
3DQPA       219      XRAY        1.400    0.17    0.17
3HZPA       131      XRAY        1.400    0.17    0.18
4X28C       373      XRAY        1.990    0.15    0.19
1R8NA       185      XRAY        1.750    0.21    0.25
1O20A       427      XRAY        2.000    0.16    0.20
3WARA       340      XRAY        1.040    0.14    0.17
5UFTA       150      XRAY        2.350    0.23    0.26
4PWYA       264      XRAY        1.900    0.16    0.19
2FD4A       122      XRAY        1.800    0.24    0.27
1EL6A       219      XRAY        2.000    0.21    0.23
3MCQA       319      XRAY        1.910    0.20    0.23
4MSXA       482      XRAY        1.870    0.18    0.22
3R0NA       128      XRAY        1.300    0.15    0.17
1OOHA       126      XRAY        1.250    0.16    0.18
5INRA       469      XRAY        1.650    0.16    0.18
5A8CA       326      XRAY        0.970    0.10    0.12
3DCYA       275      XRAY        1.750    0.18    0.23
3AABA       123      XRAY        1.850    0.23    0.24
4LJSA       324      XRAY        2.320    0.16    0.21
4A15A       620      XRAY        2.200    0.20    0.25
4UFQA       217      XRAY        1.450    0.15    0.17
3BCHA       253      XRAY        2.150    0.19    0.22
2W15A       202      XRAY        1.050    0.12    0.14
2OIWA       136      XRAY        2.000    0.18    0.23
3QAOA       249      XRAY        1.870    0.20    0.23
4PUXA       160      XRAY        1.430    0.12    0.15
2PY6A       409      XRAY        2.150    0.17    0.22
1CQ3A       233      XRAY        1.850    0.21    0.24
3AGCA       276      XRAY        2.000    0.21    0.27
3SCYA       361      XRAY        1.500    0.17    0.18
3KHFA        99      XRAY        1.200    0.16    0.17
2QYVA       487      XRAY        2.110    0.22    0.24
2GMQA       118      XRAY        1.760    0.19    0.22
4YMHA       240      XRAY        1.880    0.17    0.20
3HHPA       312      XRAY        1.450    0.19    0.21
3LNBA       309      XRAY        2.010    0.20    0.24
1CI9A       392      XRAY        1.800    0.18    0.23
1OAHA       519      XRAY        2.300    0.19    0.22
5U0IA       140      XRAY        1.420    0.15    0.18
3K9TA       435      XRAY        2.370    0.17    0.21
5F7ZA       320      XRAY        1.800    0.21    0.23
1NKGA       508      XRAY        1.500    0.17    0.19
1AL3A       324      XRAY        1.800    0.18    0.25
3BA3A       145      XRAY        1.550    0.17    0.20
4XLTA       133      XRAY        2.300    0.20    0.25
5B1NA        69      XRAY        1.330    0.18    0.21
3HN0A       283      XRAY        1.750    0.17    0.21
5GK9B        50      XRAY        2.400    0.26    0.26
3RKCA       148      XRAY        1.790    0.15    0.19
5D3AA        82      XRAY        2.500    0.18    0.20
1EYVA       156      XRAY        1.600    0.19    0.23
5JEEA       231      XRAY        1.490    0.20    0.22
2CZVC       120      XRAY        2.000    0.22    0.26
1U02A       239      XRAY        1.920    0.20    0.22
4O4OA       207      XRAY        1.950    0.17    0.21
2QJWA       176      XRAY        1.350    0.18    0.22
4GUCA       120      XRAY        1.400    0.15    0.19
5IVNA       131      XRAY        1.000    0.13    0.15
1Q42A       201      XRAY        1.750    0.23    0.25
3GXHA       157      XRAY        1.400    0.16    0.18
2CFMA       561      XRAY        1.800    0.20    0.23
2C61A       469      XRAY        1.500    0.19    0.21
5A7GA       532      XRAY        1.480    0.13    0.17
5K04B       170      XRAY        2.400    0.20    0.24
3N17A       333      XRAY        1.200    0.18    0.19
2JA9A       175      XRAY        2.200    0.19    0.21
1O88A       353      XRAY        2.200    0.17    0.22
4ZPJA       423      XRAY        2.240    0.17    0.22
1YDXA       406      XRAY        2.300    0.20    0.23
1CI4A        89      XRAY        1.900    0.21    0.26
4OM7A       179      XRAY        2.200    0.24    0.28
1QRVA        73      XRAY        2.200    0.24    0.29
2X7QA       321      XRAY        2.000    0.22    0.24
3QC0A       275      XRAY        1.450    0.16    0.18
5LD9A       140      XRAY        1.730    0.16    0.19
5GU6A       379      XRAY        2.000    0.21    0.24
1WVFA       520      XRAY        1.300    0.15    0.17
2VXZA       165      XRAY        1.700    0.18    0.23
4QASA       201      XRAY        1.250    0.17    0.19
3G8QA       278      XRAY        2.400    0.20    0.27
1Z0SA       278      XRAY        1.700    0.20    0.23
5JVKA       587      XRAY        2.500    0.21    0.24
3RMIA       114      XRAY        2.400    0.22    0.25
3FLEA       249      XRAY        2.010    0.18    0.22
3COQA        89      XRAY        2.400    0.21    0.27
4LA2A       198      XRAY        1.600    0.20    0.22
4P0TA       176      XRAY        1.490    0.13    0.16
1HY5A       136      XRAY        2.250    0.20    0.24
2YF4A       154      XRAY        1.700    0.21    0.23
1FEPA       724      XRAY        2.400    0.24    0.28
3KANA       117      XRAY        1.130    0.11    0.13
2W0IA       135      XRAY        1.800    0.19    0.24
1OEWA       330      XRAY        0.900    0.12    0.15
1OLTA       457      XRAY        2.070    0.15    0.19
1M56D        51      XRAY        2.300    0.24    0.28
2IJLA       135      XRAY        2.300    0.18    0.24
3DKAA       155      XRAY        2.300    0.22    0.27
3T7ZA       119      XRAY        1.700    0.20    0.23
5LSLE        84      XRAY        1.650    0.20    0.22
2P35A       259      XRAY        1.950    0.19    0.21
5G1XB        63      XRAY        1.720    0.18    0.20
2A6HD      1524      XRAY        2.400    0.24    0.27
2ODKA        89      XRAY        1.400    0.14    0.15
3WYGD        76      XRAY        2.150    0.18    0.22
5ACSA       250      XRAY        1.460    0.13    0.17
2DH2A       424      XRAY        2.100    0.18    0.23
2VX8A       169      XRAY        2.200    0.22    0.28
3BJ4A        49      XRAY        2.000    0.22    0.26
2BZ1A       196      XRAY        1.540    0.19    0.21
3OCRA       273      XRAY        1.950    0.19    0.24
1WKOA       180      XRAY        1.800    0.18    0.21
3IHJA       498      XRAY        2.300    0.19    0.24
5C6DA       322      XRAY        2.290    0.19    0.23
4QMAA       208      XRAY        1.650    0.17    0.20
3EJKA       174      XRAY        1.950    0.17    0.22
2IL5A       171      XRAY        2.300    0.21    0.24
3HC7A       254      XRAY        2.000    0.20    0.25
2ZXYA        87      XRAY        1.150    0.13    0.16
4AFLA       104      XRAY        2.270    0.21    0.26
2I06A       309      XRAY        2.200    0.22    0.28
5BQPA       179      XRAY        1.700    0.16    0.19
4PBHA       334      XRAY        1.200    0.14    0.15
2O8SA       323      XRAY        2.400    0.24    0.28
1K7WA       468      XRAY        1.960    0.22    0.25
1KXOA       184      XRAY        1.800    0.21    0.29
2QEUA       141      XRAY        1.650    0.15    0.18
2HEUA       401      XRAY        1.040    0.13    0.16
1OHUA       175      XRAY        2.030    0.21    0.25
5UEJA       384      XRAY        1.300    0.12    0.15
1VJLA       164      XRAY        1.900    0.20    0.25
2HHGA       139      XRAY        1.200    0.20    0.21
3IE7A       320      XRAY        1.600    0.22    0.24
4G6TA       128      XRAY        1.560    0.21    0.23
3QJ4A       342      XRAY        2.500    0.22    0.26
2ZXRA       666      XRAY        2.150    0.23    0.28
5MX0A       362      XRAY        2.210    0.18    0.22
4GJ4A       126      XRAY        1.800    0.20    0.24
5VN4A       243      XRAY        1.350    0.14    0.17
4BG7A       102      XRAY        1.900    0.20    0.26
2QSDA       187      XRAY        2.500    0.22    0.25
4IPLA       487      XRAY        2.000    0.18    0.22
5GMTA       279      XRAY        1.770    0.16    0.20
4UXEA       410      XRAY        2.000    0.14    0.17
3CSVA       333      XRAY        2.150    0.17    0.23
5GVAA       344      XRAY        1.850    0.17    0.19
4H89A       173      XRAY        1.370    0.12    0.16
3LEWA       495      XRAY        1.700    0.15    0.17
4C92A       146      XRAY        2.300    0.21    0.26
1ZTHA       258      XRAY        1.890    0.19    0.26
4IUWA       633      XRAY        1.850    0.17    0.22
1WLYA       333      XRAY        1.300    0.21    0.23
5GJIA       108      XRAY        0.900    0.13    0.14
4N13A       265      XRAY        1.300    0.14    0.16
3W36A       531      XRAY        1.970    0.21    0.24
3KOLA       156      XRAY        1.900    0.21    0.23
3E4PA       305      XRAY        2.300    0.20    0.26
3I94A       248      XRAY        1.040    0.12    0.15
